DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
30-Dec-2025,EQ,"685.55","686.70","676.20","688.75","682.00","680.65","680.78","886.80","601.20",1717351,"1,16,91,39,311.15",34267
29-Dec-2025,EQ,"695.10","697.50","686.30","695.00","687.10","688.75","689.97","886.80","601.20",1236240,"85,29,67,228.05",16904
26-Dec-2025,EQ,"692.85","696.55","689.05","694.90","695.10","695.00","694.32","886.80","601.20",1226524,"85,15,96,885.55",20641
24-Dec-2025,EQ,"693.10","703.95","692.35","694.25","694.30","694.90","697.81","886.80","601.20",2407071,"1,67,96,67,024.95",37213
23-Dec-2025,EQ,"692.10","699.00","688.35","692.05","693.70","694.25","694.74","886.80","601.20",1843580,"1,28,08,11,181.30",39550
22-Dec-2025,EQ,"695.00","696.00","690.25","691.20","691.10","692.05","692.55","886.80","601.20",1007869,"69,80,02,046.40",24563
19-Dec-2025,EQ,"679.20","694.65","679.20","679.05","693.00","691.20","687.38","896.60","601.20",1311420,"90,14,37,700.10",32837
18-Dec-2025,EQ,"681.10","686.50","672.00","683.10","676.00","679.05","679.37","896.60","601.20",1597174,"1,08,50,73,501.80",34467
17-Dec-2025,EQ,"690.00","691.90","680.05","691.95","681.50","683.10","684.34","896.60","601.20",1751896,"1,19,88,85,944.40",31429
16-Dec-2025,EQ,"697.00","697.00","689.00","697.90","690.95","691.95","691.48","896.60","601.20",1299419,"89,85,25,749.50",29141
15-Dec-2025,EQ,"695.00","698.80","690.30","699.40","698.00","697.90","695.96","896.60","601.20",1519781,"1,05,77,09,133.50",32479
12-Dec-2025,EQ,"697.00","705.00","691.70","693.65","698.30","699.40","698.12","896.60","601.20",2447290,"1,70,85,05,002.25",40865
11-Dec-2025,EQ,"685.00","695.70","680.15","684.80","693.00","693.65","688.64","896.60","601.20",1705673,"1,17,46,00,120.95",31785
10-Dec-2025,EQ,"690.05","698.00","683.15","690.05","685.00","684.80","688.65","896.60","601.20",2350392,"1,61,85,95,102.90",53363
09-Dec-2025,EQ,"684.50","699.00","679.50","687.45","689.90","690.05","689.24","896.60","601.20",3060901,"2,10,96,83,970.20",58932
08-Dec-2025,EQ,"719.75","720.05","685.05","719.75","686.40","687.45","694.04","896.60","601.20",3505750,"2,43,31,35,800.60",70372
05-Dec-2025,EQ,"708.00","725.25","707.15","709.35","720.40","719.75","719.68","896.60","601.20",2301587,"1,65,64,05,116.90",39331
04-Dec-2025,EQ,"706.60","713.85","705.15","708.00","711.00","709.35","709.94","896.60","601.20",2869711,"2,03,73,10,822.10",36910
03-Dec-2025,EQ,"714.45","715.65","705.95","712.20","708.00","708.00","708.99","896.60","601.20",1396559,"99,01,44,397.20",31113
02-Dec-2025,EQ,"712.50","716.70","709.35","712.50","714.95","712.20","712.65","896.60","601.20",2424169,"1,72,75,78,475.70",33930
01-Dec-2025,EQ,"727.10","728.90","709.70","723.60","712.00","712.50","716.53","896.60","601.20",2400147,"1,71,97,76,990.85",50962
28-Nov-2025,EQ,"724.00","730.20","721.70","725.40","724.60","723.60","724.88","896.60","601.20",1444662,"1,04,72,03,332.45",25534
27-Nov-2025,EQ,"732.00","734.00","723.50","730.75","725.40","725.40","726.94","896.60","601.20",1086614,"78,98,97,773.15",20208
26-Nov-2025,EQ,"724.30","733.90","720.25","721.30","731.00","730.75","730.04","896.60","601.20",1965769,"1,43,50,95,587.25",38603
25-Nov-2025,EQ,"718.20","726.05","715.25","717.70","721.00","721.30","721.32","896.60","601.20",2298762,"1,65,81,42,491.80",39619
24-Nov-2025,EQ,"725.35","727.30","715.30","725.35","718.20","717.70","719.90","896.60","601.20",4800336,"3,45,57,57,137.65",66845
21-Nov-2025,EQ,"739.80","739.85","721.20","741.10","722.65","725.35","731.07","896.60","601.20",3588983,"2,62,37,94,877.30",47597
20-Nov-2025,EQ,"743.65","745.90","738.60","743.65","741.95","741.10","742.56","896.60","601.20",1529401,"1,13,56,68,674.65",30575
19-Nov-2025,EQ,"750.35","750.85","738.60","750.35","743.50","743.65","743.67","896.60","601.20",2600689,"1,93,40,52,264.60",40231
18-Nov-2025,EQ,"769.85","769.85","748.30","768.50","748.95","750.35","755.21","896.60","601.20",1247505,"94,21,31,491.50",33483
17-Nov-2025,EQ,"768.00","772.80","764.95","764.85","769.00","768.50","768.30","896.60","601.20",1312234,"1,00,81,83,656.15",22172
14-Nov-2025,EQ,"766.00","767.40","757.40","764.80","764.90","764.85","761.89","896.60","601.20",1171600,"89,26,27,327.45",25793
13-Nov-2025,EQ,"763.00","773.90","762.80","761.20","766.10","764.80","767.11","896.60","601.20",2212671,"1,69,73,71,969.00",39857
12-Nov-2025,EQ,"767.40","771.15","760.00","765.25","762.00","761.20","764.54","896.60","601.20",2364484,"1,80,77,39,853.60",58045
11-Nov-2025,EQ,"762.50","766.30","752.45","760.00","765.75","765.25","761.08","896.60","601.20",1497577,"1,13,97,78,403.90",28496
10-Nov-2025,EQ,"759.45","768.25","756.50","759.45","760.00","760.00","760.85","896.60","601.20",1418071,"1,07,89,41,608.80",27627
07-Nov-2025,EQ,"753.60","761.65","745.00","758.35","758.50","759.45","753.70","896.60","601.20",1968749,"1,48,38,36,864.80",36466
06-Nov-2025,EQ,"770.00","773.50","756.50","774.60","758.90","758.35","762.97","896.60","601.20",2753925,"2,10,11,56,167.65",58889
04-Nov-2025,EQ,"777.20","784.00","771.20","777.20","773.00","774.60","777.71","896.60","601.20",3229495,"2,51,16,01,464.65",93541
03-Nov-2025,EQ,"755.00","784.50","752.35","756.25","780.00","777.20","774.04","896.60","601.20",3774129,"2,92,13,39,369.45",56837
31-Oct-2025,EQ,"757.00","780.95","754.10","776.55","757.75","756.25","766.12","896.60","601.20",3438729,"2,63,44,88,416.65",56798
30-Oct-2025,EQ,"781.80","784.65","771.15","778.70","780.00","776.55","775.98","896.60","601.20",1835761,"1,42,45,06,581.05",32049
29-Oct-2025,EQ,"774.10","786.50","772.05","774.05","782.60","778.70","780.60","896.60","601.20",2757524,"2,15,25,22,869.40",36420
28-Oct-2025,EQ,"777.20","779.85","767.20","779.50","775.00","774.05","772.78","896.60","601.20",1775002,"1,37,16,77,225.35",35008
27-Oct-2025,EQ,"774.70","785.80","774.20","772.45","779.50","779.50","781.54","896.60","601.20",1711268,"1,33,74,21,210.80",40086
24-Oct-2025,EQ,"774.30","777.00","765.65","774.30","772.60","772.45","772.44","896.60","601.20",1843887,"1,42,42,90,034.20",40876
23-Oct-2025,EQ,"776.45","782.65","772.40","771.75","774.00","774.30","778.79","896.60","601.20",3194015,"2,48,74,73,591.85",48225
21-Oct-2025,EQ,"775.00","776.80","770.00","773.95","770.15","771.75","772.75","896.60","601.20",165784,"12,81,09,327.90",6094
20-Oct-2025,EQ,"772.00","775.15","765.10","767.95","773.50","773.95","771.74","896.60","601.20",1256775,"96,99,04,310.00",25644
17-Oct-2025,EQ,"769.00","773.85","762.00","769.70","769.15","767.95","769.26","896.60","601.20",3164486,"2,43,42,98,399.75",59738
16-Oct-2025,EQ,"759.00","771.45","757.55","756.30","766.10","769.70","766.31","896.60","601.20",2587449,"1,98,27,92,439.75",40484
15-Oct-2025,EQ,"743.00","765.00","742.25","740.90","755.85","756.30","757.09","896.60","601.20",3280013,"2,48,32,59,464.65",59315
14-Oct-2025,EQ,"743.10","746.45","736.40","741.20","741.50","740.90","742.06","896.60","601.20",1964076,"1,45,74,68,032.45",37142
13-Oct-2025,EQ,"738.40","743.55","730.00","740.20","742.30","741.20","738.52","896.60","601.20",1376145,"1,01,63,05,026.60",22145
10-Oct-2025,EQ,"730.85","743.40","728.05","729.00","740.25","740.20","739.86","896.60","601.20",2131129,"1,57,67,38,542.50",37766
